Source,Target,Score,Label,SourceID,TargetID
the special commissioner of investigation for the new york city school district,special commissioner of investigation for the new york city school district,,Match,,
young mens initiative,nyc young mens initiative,,Match,,
administrative tax appeals office of,tax appeals office of administrative,,Match,,
animal welfare nyc mayors office of,office of animal welfare,,Match,,
asylum seeker operations office of,mayors office of asylum seeker operations,,Match,,
counsel to the mayor office of,counsel to the mayor,,Match,,
criminal justice mayors office of,office of criminal justice,,Match,,
district attorney bronx county,district attorney bronx,,Match,,
district attorney queens county,district attorney queens,,Match,,
food policy mayors office of,office of food policy,,Match,,
inspector general nypd office of the,office of the inspector general for the nypd,,Match,,
media nyc,nyc media,,Match,,
nyc childrens cabinet,childrens cabinet,,Match,,
nyc commission on racial equity,commission on racial equity,,Match,,
nyc service,mayors office nyc service,,Match,,
special commissioner of investigation for the new york city school district,special commissioner of investigation for the nyc school district,,Match,,
special commissioner of investigation for the new york city school district,investigation for the nyc school district special commissioner of,,Match,,
urban agriculture mayors office of,mayors office of urban agriculture,,Match,,
office of the first deputy mayor,first deputy mayor,,Match,,
office of the chief advisor to the mayor,chief advisor to the mayor,,Match,,
office of the chief of staff,mayors office chief of staff,,Match,,
office of the chief counsel to the mayor and city hall,mayors office of the chief counsel to the mayor and city hall,,Match,,
office of the chief efficiency officer,chief efficiency officer,,Match,,
office of the chief housing officer,chief housing officer,,Match,,
mayors office of city legislative affairs,city legislative affairs,,Match,,
mayors office of pensions investments,office of pensions and investments,,Match,,
mayors office of policy and planning,office of policy and planning,,Match,,
mayors office of state legislative affairs,state legislative affairs,,Match,,
office for the prevention of hate crimes,mayors office for the prevention of hate crimes,,Match,,
office of the actuary,actuary office of,,Match,,
bronx community board 1,bronx community board 2,,No Match,,
bronx community board 1,bronx community board 3,,No Match,,
bronx community board 1,bronx community board 4,,No Match,,
bronx community board 1,bronx community board 5,,No Match,,
bronx community board 1,bronx community board 6,,No Match,,
bronx community board 1,bronx community board 7,,No Match,,
bronx community board 1,bronx community board 8,,No Match,,
bronx community board 1,bronx community board 9,,No Match,,
bronx community board 2,bronx community board 3,,No Match,,
bronx community board 2,bronx community board 4,,No Match,,
bronx community board 2,bronx community board 5,,No Match,,
bronx community board 2,bronx community board 6,,No Match,,
bronx community board 2,bronx community board 7,,No Match,,
bronx community board 2,bronx community board 8,,No Match,,
bronx community board 2,bronx community board 9,,No Match,,
bronx community board 3,bronx community board 4,,No Match,,
bronx community board 3,bronx community board 5,,No Match,,
bronx community board 3,bronx community board 6,,No Match,,
bronx community board 3,bronx community board 7,,No Match,,
bronx community board 3,bronx community board 8,,No Match,,
bronx community board 3,bronx community board 9,,No Match,,
bronx community board 4,bronx community board 5,,No Match,,
bronx community board 4,bronx community board 6,,No Match,,
bronx community board 4,bronx community board 7,,No Match,,
bronx community board 4,bronx community board 8,,No Match,,
bronx community board 4,bronx community board 9,,No Match,,
bronx community board 5,bronx community board 6,,No Match,,
bronx community board 5,bronx community board 7,,No Match,,
bronx community board 5,bronx community board 8,,No Match,,
bronx community board 5,bronx community board 9,,No Match,,
bronx community board 6,bronx community board 7,,No Match,,
bronx community board 6,bronx community board 8,,No Match,,
bronx community board 6,bronx community board 9,,No Match,,
bronx community board 7,bronx community board 8,,No Match,,
bronx community board 7,bronx community board 9,,No Match,,
bronx community board 8,bronx community board 9,,No Match,,
brooklyn community board 1,brooklyn community board 2,,No Match,,
brooklyn community board 1,brooklyn community board 3,,No Match,,
brooklyn community board 1,brooklyn community board 4,,No Match,,
brooklyn community board 1,brooklyn community board 5,,No Match,,
brooklyn community board 1,brooklyn community board 6,,No Match,,
brooklyn community board 1,brooklyn community board 7,,No Match,,
brooklyn community board 1,brooklyn community board 8,,No Match,,
brooklyn community board 1,brooklyn community board 9,,No Match,,
brooklyn community board 2,brooklyn community board 3,,No Match,,
brooklyn community board 2,brooklyn community board 4,,No Match,,
brooklyn community board 2,brooklyn community board 5,,No Match,,
brooklyn community board 2,brooklyn community board 6,,No Match,,
brooklyn community board 2,brooklyn community board 7,,No Match,,
brooklyn community board 2,brooklyn community board 8,,No Match,,
brooklyn community board 2,brooklyn community board 9,,No Match,,
brooklyn community board 3,brooklyn community board 4,,No Match,,
brooklyn community board 3,brooklyn community board 5,,No Match,,
brooklyn community board 3,brooklyn community board 6,,No Match,,
brooklyn community board 3,brooklyn community board 7,,No Match,,
brooklyn community board 3,brooklyn community board 8,,No Match,,
brooklyn community board 3,brooklyn community board 9,,No Match,,
brooklyn community board 4,brooklyn community board 5,,No Match,,
brooklyn community board 4,brooklyn community board 6,,No Match,,
brooklyn community board 4,brooklyn community board 7,,No Match,,
brooklyn community board 4,brooklyn community board 8,,No Match,,
brooklyn community board 4,brooklyn community board 9,,No Match,,
brooklyn community board 5,brooklyn community board 6,,No Match,,
brooklyn community board 5,brooklyn community board 7,,No Match,,
brooklyn community board 5,brooklyn community board 8,,No Match,,
brooklyn community board 5,brooklyn community board 9,,No Match,,
brooklyn community board 6,brooklyn community board 7,,No Match,,
brooklyn community board 6,brooklyn community board 8,,No Match,,
brooklyn community board 6,brooklyn community board 9,,No Match,,
brooklyn community board 7,brooklyn community board 8,,No Match,,
brooklyn community board 7,brooklyn community board 9,,No Match,,
brooklyn community board 8,brooklyn community board 9,,No Match,,
chief counsel to the mayor,counsel to the mayor,,Match,,
commission on human rights,human rights commission on,,Match,,
department of buildings,buildings,,Match,,
department of city planning,city planning,,Match,,
department of citywide administrative services,citywide administrative services,,Match,,
department of consumer and worker protection,consumer and worker protection,,Match,,
department of consumer and worker protection,department of consumer worker protection,,Match,,
department of cultural affairs,cultural affairs,,Match,,
department of design and construction,design and construction,,Match,,
department of environmental protection,environmental protection,,Match,,
department of health and mental hygiene,health mental hygiene department of,,Match,,
department of housing preservation and development,housing preservation development,,Match,,
department of housing preservation and development,housing preservation and development,,Match,,
department of probation,probation,,Match,,
department of records and information services,records information services,,Match,,
department of sanitation,sanitation,,Match,,
department of youth and community development,youth and community development,,Match,,
manhattan community board 1,manhattan community board 2,,No Match,,
manhattan community board 1,manhattan community board 3,,No Match,,
manhattan community board 1,manhattan community board 4,,No Match,,
manhattan community board 1,manhattan community board 5,,No Match,,
manhattan community board 1,manhattan community board 6,,No Match,,
manhattan community board 1,manhattan community board 7,,No Match,,
manhattan community board 1,manhattan community board 8,,No Match,,
manhattan community board 1,manhattan community board 9,,No Match,,
manhattan community board 2,manhattan community board 3,,No Match,,
manhattan community board 2,manhattan community board 4,,No Match,,
manhattan community board 2,manhattan community board 5,,No Match,,
manhattan community board 2,manhattan community board 6,,No Match,,
manhattan community board 2,manhattan community board 7,,No Match,,
manhattan community board 2,manhattan community board 8,,No Match,,
manhattan community board 2,manhattan community board 9,,No Match,,
manhattan community board 3,manhattan community board 4,,No Match,,
manhattan community board 3,manhattan community board 5,,No Match,,
manhattan community board 3,manhattan community board 6,,No Match,,
manhattan community board 3,manhattan community board 7,,No Match,,
manhattan community board 3,manhattan community board 8,,No Match,,
manhattan community board 3,manhattan community board 9,,No Match,,
manhattan community board 4,manhattan community board 5,,No Match,,
manhattan community board 4,manhattan community board 6,,No Match,,
manhattan community board 4,manhattan community board 7,,No Match,,
manhattan community board 4,manhattan community board 8,,No Match,,
manhattan community board 4,manhattan community board 9,,No Match,,
manhattan community board 5,manhattan community board 6,,No Match,,
manhattan community board 5,manhattan community board 7,,No Match,,
manhattan community board 5,manhattan community board 8,,No Match,,
manhattan community board 5,manhattan community board 9,,No Match,,
manhattan community board 6,manhattan community board 7,,No Match,,
manhattan community board 6,manhattan community board 8,,No Match,,
manhattan community board 6,manhattan community board 9,,No Match,,
manhattan community board 7,manhattan community board 8,,No Match,,
manhattan community board 7,manhattan community board 9,,No Match,,
manhattan community board 8,manhattan community board 9,,No Match,,
mayors office of administrative services,office of administrative services,,Match,,
mayors office of appointments,office of appointments,,Match,,
mayors office of capital project development,office of capital project development,,Match,,
mayors office of citywide event coordination and management,office of citywide event coordination and management,,Match,,
mayors office of correspondence,office of correspondence,,Match,,
mayors office of environmental coordination,office of environmental coordination,,Match,,
mayors office of ethnic and community media,office of ethnic and community media,,Match,,
mayors office of immigrant affairs,office of immigrant affairs,,Match,,
mayors office of intergovernmental affairs,office of intergovernmental affairs,,Match,,
mayors office of media and entertainment,office of media and entertainment,,Match,,
mayors office of special enforcement,office of special enforcement,,Match,,
mayors office of special projects and community events,office of special projects and community events,,Match,,
mayors office of sports wellness and recreation,office of sports wellness and recreation,,Match,,
office of emergency management,department of emergency management,,Match,,
office of emergency management,emergency management nyc,,Match,,
office of labor relations,labor relations office of,,Match,,
office of management and budget,management budget office of,,Match,,
office of technology and innovation,office of technology innovation,,Match,,
office of the chief medical examiner,office of chief medical examiner,,Match,,
queens community board 1,queens community board 2,,No Match,,
queens community board 1,queens community board 3,,No Match,,
queens community board 1,queens community board 4,,No Match,,
queens community board 1,queens community board 5,,No Match,,
queens community board 1,queens community board 6,,No Match,,
queens community board 1,queens community board 7,,No Match,,
queens community board 1,queens community board 8,,No Match,,
queens community board 1,queens community board 9,,No Match,,
queens community board 2,queens community board 3,,No Match,,
queens community board 2,queens community board 4,,No Match,,
queens community board 2,queens community board 5,,No Match,,
queens community board 2,queens community board 6,,No Match,,
queens community board 2,queens community board 7,,No Match,,
queens community board 2,queens community board 8,,No Match,,
queens community board 2,queens community board 9,,No Match,,
queens community board 3,queens community board 4,,No Match,,
queens community board 3,queens community board 5,,No Match,,
queens community board 3,queens community board 6,,No Match,,
queens community board 3,queens community board 7,,No Match,,
queens community board 3,queens community board 8,,No Match,,
queens community board 3,queens community board 9,,No Match,,
queens community board 4,queens community board 5,,No Match,,
queens community board 4,queens community board 6,,No Match,,
queens community board 4,queens community board 7,,No Match,,
queens community board 4,queens community board 8,,No Match,,
queens community board 4,queens community board 9,,No Match,,
queens community board 5,queens community board 6,,No Match,,
queens community board 5,queens community board 7,,No Match,,
queens community board 5,queens community board 8,,No Match,,
queens community board 5,queens community board 9,,No Match,,
queens community board 6,queens community board 7,,No Match,,
queens community board 6,queens community board 8,,No Match,,
queens community board 6,queens community board 9,,No Match,,
queens community board 7,queens community board 8,,No Match,,
queens community board 7,queens community board 9,,No Match,,
queens community board 8,queens community board 9,,No Match,,
staten island community board 1,staten island community board 2,,No Match,,
staten island community board 1,staten island community board 3,,No Match,,
staten island community board 2,staten island community board 3,,No Match,,
nyc municipal water finance authority,municipal water finance authority,,Match,,
transitional finance authority,transitional finance authority nyc,,Match,,
special commissioner of investigation for the nyc school district,investigation for the nyc school district special commissioner of,,Match,,
taxi limousine commission,nyc taxi and limousine commission,,Match,,
nyc housing authority,housing authority nyc,,Match,,
queens public library,queens borough public library,,Match,,
housing preservation development,housing preservation and development,,Match,,
new york state surrogates court new york county,new york state surrogates court queens county,,No Match,,
new york state surrogates court new york county,new york state surrogates court richmond county,,No Match,,
consumer and worker protection,department of consumer worker protection,,Match,,
actuary nyc office of the,actuary office of,,Match,,
citywide administrative services department of,citywide administrative services,,Match,,
commission on gender equity,commission on gender equality,,Match,,
commission on gender equity,commission on racial equity,,No Match,,
community affairs unit,mayors community affairs unit,,Match,,
consumer and worker protection department of,consumer and worker protection,,Match,,
correction board of,elections board of,,No Match,,
correction department of,education department of,,No Match,,
correction department of,probation department of,,No Match,,
department of social services,department of veteran services,,No Match,,
district attorney kings county,district attorney queens county,,No Match,,
district attorney kings county,district attorney bronx county,,No Match,,
district attorney kings county,district attorney richmond county,,No Match,,
district attorney new york county,district attorney kings county,,No Match,,
district attorney new york county,district attorney bronx county,,No Match,,
district attorney new york county,district attorney queens county,,No Match,,
district attorney richmond county,district attorney bronx county,,No Match,,
district attorney richmond county,district attorney richmond,,Match,,
district attorney richmond county,district attorney kings county,,No Match,,
district attorney richmond county,district attorney queens county,,No Match,,
economic development corporation,housing development corporation,,No Match,,
education department of,correction department of,,No Match,,
education department of,probation department of,,No Match,,
education department of,sanitation department of,,No Match,,
elections board of,correction board of,,No Match,,
fire department new york city,police department new york city,,No Match,,
homeless services department of,veterans services department of,,No Match,,
housing authority new york city,housing authority nyc,,Match,,
housing development corporation,economic development corporation,,No Match,,
housing preservation and development department of,housing preservation and development,,Match,,
investigation department of,sanitation department of,,No Match,,
labor relations nyc office of,labor relations office of,,Match,,
mayors fund to advance nyc,mayors fund to advance new york city,,Match,,
mayors office for international affairs,office of international affairs,,Match,,
mayors office for international affairs,mayors office of intergovernmental affairs,,No Match,,
mayors office of environmental remediation,mayors office of environmental coordination,,No Match,,
mayors office of environmental remediation,office of environmental coordination,,No Match,,
mayors office of equity,office of equity,,Match,,
mayors office of equity,mayor office of the,,No Match,,
mayors office of minority and womenowned business enterprises,mayors office of minority women owned business enterprises,,Match,,
mayors office of minority and womenowned business enterprises,office of minority and womenowned business enterprises,,Match,,
nyc employees retirement system,employees retirement system,,Match,,
nyc employees retirement system,new york city employees retirement system,,Match,,
police department new york city,fire department new york city,,No Match,,
probation department of,education department of,,No Match,,
probation department of,transportation department of,,No Match,,
probation department of,correction department of,,No Match,,
probation department of,sanitation department of,,No Match,,
public administrator bronx county,public administratorbronx county,,Match,,
public administrator bronx county,public administrator richmond county,,No Match,,
public administrator bronx county,public administrator kings county,,No Match,,
public administrator bronx county,public administratorrichmond county,,No Match,,
public administrator kings county,public administratorkings county,,Match,,
public administrator kings county,public administrator queens county,,No Match,,
public administrator kings county,public administrator bronx county,,No Match,,
public administrator kings county,public administratorqueens county,,No Match,,
public administrator new york county,public administratornew york county,,Match,,
public administrator new york county,public administrator bronx county,,No Match,,
public administrator new york county,public administrator kings county,,No Match,,
public administrator new york county,public administrator queens county,,No Match,,
public administrator queens county,public administratorqueens county,,Match,,
public administrator queens county,public administrator kings county,,No Match,,
public administrator queens county,public administratorkings county,,No Match,,
public administrator queens county,public administrator bronx county,,No Match,,
public administrator richmond county,public administratorrichmond county,,Match,,
public administrator richmond county,public administrator bronx county,,No Match,,
public administrator richmond county,public administratorbronx county,,No Match,,
public administrator richmond county,public administrator kings county,,No Match,,
sanitation department of,transportation department of,,No Match,,
sanitation department of,investigation department of,,No Match,,
sanitation department of,education department of,,No Match,,
sanitation department of,probation department of,,No Match,,
transitional finance authority new york city,transitional finance authority nyc,,Match,,
transitional finance authority new york city,transitional finance authority,,Match,,
transportation department of,sanitation department of,,No Match,,
transportation department of,probation department of,,No Match,,
veterans services department of,homeless services department of,,No Match,,
youth and community development department of,youth and community development,,Match,,
board of elections,board of correction,,No Match,,
bronx borough president,brooklyn borough president,,No Match,,
bronx borough president,bronx borough presidents office,,Match,,
bronx borough president,queens borough president,,No Match,,
brooklyn borough president,bronx borough president,,No Match,,
brooklyn borough president,brooklyn borough presidents office,,Match,,
manhattan borough president,manhattan borough presidents office,,Match,,
nyc emergency management,office of emergency management,,Match,,
office of film theatre and broadcasting,office of film theater broadcasting,,Match,,
queens borough president,queens borough presidents office,,Match,,
queens borough president,bronx borough president,,No Match,,
staten island borough president,staten island borough presidents office,,Match,,
bronx county district attorney,richmond county district attorney,,No Match,,
bronx county district attorney,kings county district attorney,,No Match,,
bronx county district attorney,queens county district attorney,,No Match,,
bronx county district attorney,new york county district attorney,,No Match,,
kings county district attorney,queens county district attorney,,No Match,,
kings county district attorney,bronx county district attorney,,No Match,,
kings county district attorney,richmond county district attorney,,No Match,,
kings county district attorney,new york county district attorney,,No Match,,
mayors office of communications,mayors office of operations,,No Match,,
mayors office of federal legislative affairs,mayors office of state legislative affairs,,No Match,,
mayors office of federal legislative affairs,mayors office of city legislative affairs,,No Match,,
new york county district attorney,bronx county district attorney,,No Match,,
new york county district attorney,kings county district attorney,,No Match,,
new york county district attorney,queens county district attorney,,No Match,,
new york county public administrator,queens county public administrator,,No Match,,
nyc health hospitals,nyc health hospital,,Match,,
office of administrative tax appeals,office of administrative trial and hearings,,No Match,,
office of climate resiliency,office of recovery resiliency,,No Match,,
office of information privacy,office of information policy,,Match,,
queens county district attorney,kings county district attorney,,No Match,,
queens county district attorney,bronx county district attorney,,No Match,,
queens county district attorney,new york county district attorney,,No Match,,
queens county district attorney,richmond county district attorney,,No Match,,
queens county public administrator,new york county public administrator,,No Match,,
richmond county district attorney,bronx county district attorney,,No Match,,
richmond county district attorney,kings county district attorney,,No Match,,
richmond county district attorney,queens county district attorney,,No Match,,
the special commissioner of investigation for the new york city school district,special commissioner of investigation for the nyc school district,,Match,,
new york state supreme court appellate division first department,new york state supreme court appellate division second department,,No Match,,
new york state supreme court appellate division second department,new york state supreme court appellate division first department,,No Match,,
borough president bronx,borough president brooklyn,,No Match,,
borough president bronx,borough president queens,,No Match,,
borough president brooklyn,borough president bronx,,No Match,,
borough president queens,borough president bronx,,No Match,,
district attorney bronx county,district attorney richmond county,,No Match,,
district attorney bronx county,district attorney kings county,,No Match,,
district attorney bronx county,district attorney queens county,,No Match,,
district attorney queens county,district attorney kings county,,No Match,,
district attorney queens county,district attorney bronx county,,No Match,,
district attorney queens county,district attorney new york county,,No Match,,
nyc health hospital,nyc health hospitals,,Match,,
nyc young mens initiative,young mens initiative,,Match,,
office of technology and innovation new york city,office of technology and innovation,,Match,,
special commissioner of investigation for the new york city school district,the special commissioner of investigation for the new york city school district,,Match,,
office of the deputy mayor for operations,office of the deputy mayor for communications,,No Match,,
office of the deputy mayor for economic and workforce development,deputy mayor for economic and workforce development,,Match,,
office of the deputy mayor for health and human services,deputy mayor for health and human services,,Match,,
office of the deputy mayor for public safety,deputy mayor for public safety,,Match,,
office of the deputy mayor for strategic initiatives,deputy mayor for strategic initiatives,,Match,,
office of the deputy mayor for communications,office of the deputy mayor for operations,,No Match,,
office of the deputy mayor for communications,office of the deputy mayor for public safety,,No Match,,
office of the chief advisor to the mayor,office of the senior advisor to the mayor,,Match,,
office of the chief efficiency officer,office of the chief housing officer,,No Match,,
office of the director policy and planning,office of policy and planning,,Match,,
office of the senior advisor to the mayor,office of the chief advisor to the mayor,,Match,,
office of the chief housing officer,office of the chief efficiency officer,,No Match,,
childrens cabinet,nyc childrens cabinet,,Match,,
mayors office of asylum seeker operations,nyc office of asylum seeker operations,,Match,,
mayors office of city legislative affairs,mayors office of state legislative affairs,,No Match,,
mayors office of city legislative affairs,mayors office of federal legislative affairs,,No Match,,
mayors office of pensions investments,mayors office of appointments,,No Match,,
mayors office of state legislative affairs,mayors office of city legislative affairs,,No Match,,
mayors office of state legislative affairs,mayors office of federal legislative affairs,,No Match,,
mayors office of the chief counsel to the mayor and city hall,office of the chief counsel to the mayor and city hall,,Match,,
office of film theater broadcasting,office of film theatre and broadcasting,,Match,,
board of correction,board of elections,,No Match,,
bronx borough presidents office,brooklyn borough presidents office,,No Match,,
bronx borough presidents office,queens borough presidents office,,No Match,,
bronx borough presidents office,bronx borough president,,Match,,
bronx borough presidents office,manhattan borough presidents office,,No Match,,
bronx community board 1,bronx community board 10,,No Match,,
bronx community board 1,bronx community board 11,,No Match,,
bronx community board 1,bronx community board 12,,No Match,,
bronx community board 2,bronx community board 12,,No Match,,
bronx community board 2,bronx community board 1,,No Match,,
bronx community board 3,bronx community board 1,,No Match,,
bronx community board 3,bronx community board 2,,No Match,,
bronx community board 4,bronx community board 1,,No Match,,
bronx community board 4,bronx community board 2,,No Match,,
bronx community board 4,bronx community board 3,,No Match,,
bronx community board 5,bronx community board 1,,No Match,,
bronx community board 5,bronx community board 2,,No Match,,
bronx community board 5,bronx community board 3,,No Match,,
bronx community board 5,bronx community board 4,,No Match,,
bronx community board 6,bronx community board 1,,No Match,,
bronx community board 6,bronx community board 2,,No Match,,
bronx community board 6,bronx community board 3,,No Match,,
bronx community board 6,bronx community board 4,,No Match,,
bronx community board 7,bronx community board 1,,No Match,,
bronx community board 7,bronx community board 2,,No Match,,
bronx community board 7,bronx community board 3,,No Match,,
bronx community board 7,bronx community board 4,,No Match,,
bronx community board 8,bronx community board 1,,No Match,,
bronx community board 8,bronx community board 2,,No Match,,
bronx community board 8,bronx community board 3,,No Match,,
bronx community board 8,bronx community board 4,,No Match,,
bronx community board 9,bronx community board 1,,No Match,,
bronx community board 9,bronx community board 2,,No Match,,
bronx community board 9,bronx community board 3,,No Match,,
bronx community board 9,bronx community board 4,,No Match,,
bronx community board 10,bronx community board 1,,No Match,,
bronx community board 10,bronx community board 11,,No Match,,
bronx community board 10,bronx community board 12,,No Match,,
bronx community board 10,bronx community board 2,,No Match,,
bronx community board 11,bronx community board 1,,No Match,,
bronx community board 11,bronx community board 10,,No Match,,
bronx community board 11,bronx community board 12,,No Match,,
bronx community board 11,bronx community board 2,,No Match,,
bronx community board 12,bronx community board 1,,No Match,,
bronx community board 12,bronx community board 2,,No Match,,
bronx community board 12,bronx community board 10,,No Match,,
bronx community board 12,bronx community board 11,,No Match,,
brooklyn borough presidents office,bronx borough presidents office,,No Match,,
brooklyn borough presidents office,brooklyn borough president,,Match,,
brooklyn borough presidents office,queens borough presidents office,,No Match,,
brooklyn community board 1,brooklyn community board 10,,No Match,,
brooklyn community board 1,brooklyn community board 11,,No Match,,
brooklyn community board 1,brooklyn community board 12,,No Match,,
brooklyn community board 1,brooklyn community board 13,,No Match,,
brooklyn community board 2,brooklyn community board 12,,No Match,,
brooklyn community board 2,brooklyn community board 1,,No Match,,
brooklyn community board 3,brooklyn community board 13,,No Match,,
brooklyn community board 3,brooklyn community board 1,,No Match,,
brooklyn community board 3,brooklyn community board 2,,No Match,,
brooklyn community board 4,brooklyn community board 14,,No Match,,
brooklyn community board 4,brooklyn community board 1,,No Match,,
brooklyn community board 4,brooklyn community board 2,,No Match,,
brooklyn community board 4,brooklyn community board 3,,No Match,,
brooklyn community board 5,brooklyn community board 15,,No Match,,
brooklyn community board 5,brooklyn community board 1,,No Match,,
brooklyn community board 5,brooklyn community board 2,,No Match,,
brooklyn community board 5,brooklyn community board 3,,No Match,,
brooklyn community board 6,brooklyn community board 16,,No Match,,
brooklyn community board 6,brooklyn community board 1,,No Match,,
brooklyn community board 6,brooklyn community board 2,,No Match,,
brooklyn community board 6,brooklyn community board 3,,No Match,,
brooklyn community board 7,brooklyn community board 17,,No Match,,
brooklyn community board 7,brooklyn community board 1,,No Match,,
brooklyn community board 7,brooklyn community board 2,,No Match,,
brooklyn community board 7,brooklyn community board 3,,No Match,,
brooklyn community board 8,brooklyn community board 18,,No Match,,
brooklyn community board 8,brooklyn community board 1,,No Match,,
brooklyn community board 8,brooklyn community board 2,,No Match,,
brooklyn community board 8,brooklyn community board 3,,No Match,,
brooklyn community board 9,brooklyn community board 1,,No Match,,
brooklyn community board 9,brooklyn community board 2,,No Match,,
brooklyn community board 9,brooklyn community board 3,,No Match,,
